merchant_website_id,merchant_id,merchant_website_url,is_default,is_active,created_by,updated_by,created_at,updated_at,sort_updated_at
123c762a-6108-4c15-861a-05710c398ec1,655a52e7-01bd-4c2b-adc7-ec6704fe90ce,http://WestridgeOutdoors.com,true,true,,,2018-04-25 16:40:08+00,2018-04-25 16:40:08+00,2018-04-25 16:40:08+00
0fde4748-834b-443d-ab75-6489d1ccfcbe,6dbfb38f-2f0b-4b45-82fd-249eddc7dbd4,https://shop.dometic.com/,false,true,c13183db-cb51-436d-b5cd-203d202c6769,c13183db-cb51-436d-b5cd-203d202c6769,2021-03-10 20:55:22+00,2021-03-10 20:55:22+00,2021-03-10 20:55:22+00
aefe302a-f057-4cf1-8651-c021aa72c9f1,40b93980-d0a7-41b0-931c-f2f4ac34341b,https://yoganol.com,true,true,1054e83d-9bfc-4f79-b6c4-574dc49aed2c,271d1f6d-719c-43a0-b202-b7aeb931c8f3,2019-12-30 20:09:09+00,2021-04-13 14:06:57+00,2021-04-13 14:06:57+00
f0caf1a3-c865-4a0d-a25e-1e5f715a69e9,be1ace51-ae63-47f9-9a41-395512bf5879,https://sagetitanium.staging.wpengine.com/products/test-product/,false,false,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,3e76c175-b5cb-4acc-9910-74fd7f82cc1d,2019-11-11 20:50:34+00,2020-05-26 17:17:58+00,2020-05-26 17:17:58+00
91f978de-38c6-4863-9a78-b7880f7d31ff,fd91af8f-a857-49f5-b7a1-69daf8f2c7a0,http://www.browe-inc.com/,true,true,,3b4a8b32-eb6b-4f92-bb31-b280a17bee9b,2018-04-25 17:24:17+00,2018-11-15 20:36:54+00,2018-11-15 20:36:54+00
f5278db4-cf2b-4e0a-add6-20df113ee402,844c8093-5288-47a6-b685-a5ff37d0d83e,https://deals.yoins.com/topic/Yoins-NEW-LOOKS.html,false,true,,,2018-04-25 16:40:08+00,2018-04-25 16:40:08+00,2018-04-25 16:40:08+00
2728b6ea-38da-432d-9556-9e46e2de5f24,0b458e21-acee-43e2-a392-6dd03e4d1544,http://walrusoil.com,true,true,65602a95-0cd7-41f4-8d2d-3e1ef837c1b1,65602a95-0cd7-41f4-8d2d-3e1ef837c1b1,2019-03-25 15:41:06+00,2019-03-25 15:41:06+00,2019-03-25 15:41:06+00
d3d90af4-40dc-405c-bc62-47d1e7e17378,f09382d9-b855-4f0d-8383-044db7c855ff,http://www.urbanremedy.com,true,true,,,2018-04-25 17:24:13+00,2018-04-25 17:24:13+00,2018-04-25 17:24:13+00
caecfb9d-3c0c-440b-9cde-090bde36b6a9,a5d50724-c39b-4d4d-bdd0-3c7be870ee6b,http://www.uncovet.com,true,true,,,2018-04-25 17:24:13+00,2018-04-25 17:24:13+00,2018-04-25 17:24:13+00
edfd8047-45ae-4b3f-81cf-38d9951ec3ab,3bc4217a-0e48-449e-8453-88c5fb6f3e64,https://store.smith-wesson.com/,true,true,4b4880f5-cf94-4160-9680-be2265aa09b2,271d1f6d-719c-43a0-b202-b7aeb931c8f3,2018-04-25 17:24:17+00,2020-02-06 16:20:17+00,2020-02-06 16:20:17+00
